INFO:root:read_directory Ran with args: (), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_701.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_715.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1055.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_926.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_932.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_33.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1082.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1096.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_27.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_259.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_503.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_265.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1243.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1257.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_271.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_517.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1280.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1294.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1295.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1281.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_270.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1256.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_516.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_502.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1242.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_264.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_258.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_26.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1097.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1083.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_32.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_933.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_927.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_714.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1054.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1040.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_700.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_728.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1068.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_847.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_853.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_660.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1120.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_106.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_6.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_112.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1134.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_674.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_884.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1108.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_890.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_648.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_489.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_304.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1322.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1444.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_462.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_476.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1450.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1336.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_310.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_338.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1308.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_448.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_460.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1446.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1320.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_306.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_312.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1334.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1452.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_474.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_138.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_886.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_892.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_4.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_104.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1122.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_662.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_676.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1136.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_110.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_845.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_851.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_689.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_879.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1056.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_716.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_702.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1042.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_18.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_931.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_925.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1095.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_24.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_919.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_30.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1081.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_528.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1268.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_514.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1254.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_272.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_266.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1240.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_500.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_299.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1297.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1283.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1282.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1296.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_298.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1241.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_267.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_501.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_515.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_273.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1255.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_529.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1269.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_918.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1080.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_31.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_25.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1094.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_924.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_19.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_930.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_703.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1043.txt',), and kwargs: {}
